Date,,2B76.DE,2B77.DE,2B78.DE,AASI.PA,AGGH.AS,CEUU.AS,CNDX.AS,CSPX.AS,DTLA.L,EACW.MI,EMIM.AS,ESP0.DE,EUEA.AS,EUNY.DE,EX37.VI,GMVM.DE,H2OA.AS,IBC0.F,IBC9.F,IBTA.L,IEAC.AS,IEVD.DE,IGILN.MX,IGLN.L,IPRP.AS,IPRV.AS,IQQH.DE,IS3R.DE,ISFA.AS,ISPY.AS,IUFS.L,IUS7.F,IUSA.AS,IWDP.AS,LEER.F,LQDAN.MX,NAN,QBIT.SW,QDVE.DE,SBIO.AS,SXR1.DE,UC15.L,UEF5.AS,UIMM.AS,VHYL.AS,WDSC.L,XMK9.DE
2018-06-01,Close,6.433000087738037,5.113500118255615,5.619999885559082,28.282499313354492,4.934599876403809,,337.3999938964844,265.8999938964844,5.135499954223633,,24.017000198364258,,34.939998626708984,18.381000518798828,,30.75,,6.019999980926514,82.2300033569336,5.0,129.33999633789062,,,24.59000015258789,41.650001525878906,17.34000015258789,4.369500160217285,39.790000915527344,8.555000305175781,13.960000038146973,7.059999942779541,90.25,23.35099983215332,22.2549991607666,,,12.59000015258789,,7.355000019073486,35.220001220703125,124.72000122070312,50.869998931884766,11.217000007629395,79.27999877929688,46.88999938964844,75.16000366210938,20.899999618530273
2018-07-01,Close,6.550000190734863,5.204999923706055,5.664000034332275,28.675199508666992,4.9243998527526855,,343.6000061035156,273.3999938964844,5.09250020980835,,24.610000610351562,,36.32500076293945,19.15999984741211,,31.850000381469727,,6.179999828338623,83.23999786376953,5.0,129.05999755859375,,,24.030000686645508,42.599998474121094,18.04400062561035,4.541999816894531,40.45000076293945,8.607999801635742,13.779999732971191,7.300000190734863,92.0199966430664,23.968000411987305,22.395999908447266,,,12.5,,7.447999954223633,37.21500015258789,126.44000244140625,49.869998931884766,11.699999809265137,80.62999725341797,48.28499984741211,75.5999984741211,21.31999969482422
2018-08-01,Close,6.7210001945495605,5.238999843597412,6.034999847412109,28.329999923706055,4.923500061035156,,366.8999938964844,282.29998779296875,5.191999912261963,,23.913000106811523,,34.35499954223633,18.573999404907227,,32.33000183105469,,6.070000171661377,84.0999984741211,5.019999980926514,128.94000244140625,,,23.59000015258789,43.099998474121094,18.13800048828125,4.349999904632568,42.15999984741211,8.295999526977539,15.09000015258789,7.369999885559082,90.19999694824219,24.913999557495117,22.618999481201172,,,12.59000015258789,,8.01200008392334,38.959999084472656,124.91999816894531,49.84000015258789,11.385000228881836,81.77999877929688,47.862998962402344,77.06999969482422,21.045000076293945
2018-09-01,Close,6.499000072479248,5.288000106811523,6.208000183105469,28.074399948120117,4.8927001953125,,365.8500061035156,284.25,5.021500110626221,,23.900999069213867,,34.474998474121094,18.29800033569336,,32.76499938964844,,6.059999942779541,82.36000061035156,5.010000228881836,128.67999267578125,,,23.40999984741211,41.31999969482422,18.3799991607666,4.310999870300293,42.7400016784668,8.317999839782715,15.029999732971191,7.269999980926514,91.41999816894531,25.00200080871582,21.93400001525879,,,12.3100004196167,,7.9730000495910645,39.0,123.83999633789062,49.2599983215332,11.454999923706055,82.41000366210938,48.040000915527344,76.31999969482422,22.045000076293945
2018-10-01,Close,5.75,4.9730000495910645,5.453000068664551,25.55150032043457,4.874899864196777,,343.1000061035156,264.45001220703125,4.872000217437744,,22.290000915527344,,32.47999954223633,17.98200035095215,,30.799999237060547,,5.659999847412109,82.20999908447266,5.019999980926514,128.33999633789062,,,23.860000610351562,39.744998931884766,17.13800048828125,4.163000106811523,38.470001220703125,7.955999851226807,13.550000190734863,6.909999847412109,91.04000091552734,23.910999298095703,21.913000106811523,,,12.100000381469727,,7.547999858856201,33.22999954223633,116.27999877929688,,11.015000343322754,78.06999969482422,46.41899871826172,68.62000274658203,20.0049991607666
2018-11-01,Close,5.953999996185303,5.077000141143799,5.699999809265137,26.95400047302246,4.881899833679199,,339.54998779296875,267.5,4.94474983215332,,23.288999557495117,,32.125,18.579999923706055,,32.060001373291016,,5.53000020980835,81.58000183105469,5.03000020980835,127.55000305175781,,,23.950000762939453,39.93000030517578,16.615999221801758,4.519000053405762,38.650001525878906,7.822999954223633,13.899999618530273,7.03000020980835,90.30999755859375,24.13599967956543,22.2549991607666,,,12.300000190734863,,7.322999954223633,34.505001068115234,119.87999725341797,,11.543999671936035,79.4000015258789,46.875,68.91000366210938,20.229999542236328
2018-12-01,Close,5.38700008392334,4.600500106811523,5.15500020980835,26.020999908447266,4.934800148010254,,309.3999938964844,243.0,5.2144999504089355,,22.659000396728516,,30.6200008392334,17.75,,29.440000534057617,,5.199999809265137,79.41999816894531,5.070000171661377,127.72000122070312,,,25.170000076293945,37.939998626708984,15.107999801635742,4.1875,36.05500030517578,7.420000076293945,12.829999923706055,6.28000020980835,90.0,21.812000274658203,20.891000747680664,,,12.25,,6.679999828338623,30.6200008392334,115.94000244140625,,11.35099983215332,73.33999633789062,43.64500045776367,62.630001068115234,18.17799949645996
2019-01-01,Close,6.064000129699707,4.977499961853027,5.559000015258789,27.920000076293945,4.982900142669678,,336.25,264.25,5.257999897003174,,24.54599952697754,,32.1349983215332,19.832000732421875,,32.05500030517578,,5.71999979019165,83.01000213623047,5.086999893188477,128.61000061035156,,,25.924999237060547,41.470001220703125,16.68000030517578,4.7779998779296875,38.2400016784668,7.900000095367432,14.420000076293945,6.797500133514404,94.41000366210938,23.483999252319336,23.10700035095215,,,12.770000457763672,,7.14900016784668,34.97999954223633,124.55999755859375,,12.0,77.54000091552734,46.361000061035156,68.98500061035156,19.18199920654297
2019-02-01,Close,6.406000137329102,5.120999813079834,5.784999847412109,28.07200050354004,4.9710001945495605,,348.8500061035156,273.5,5.173999786376953,,24.488000869750977,,33.3849983215332,19.399999618530273,,33.220001220703125,,5.860000133514404,84.4000015258789,5.090000152587891,129.49000549316406,,,25.792499542236328,40.1349983215332,17.45199966430664,4.942999839782715,39.9900016784668,8.206999778747559,15.5600004196167,6.994999885559082,94.93000030517578,24.472000122070312,23.23699951171875,,,12.869999885559082,,7.693999767303467,35.95000076293945,129.8000030517578,,11.800000190734863,80.93000030517578,47.81999969482422,72.05999755859375,19.70800018310547
2019-03-01,Close,6.61299991607666,5.11299991607666,5.836999893188477,29.04400062561035,5.053199768066406,,366.5,277.45001220703125,5.451000213623047,,25.107999801635742,,33.994998931884766,19.52199935913086,,33.150001525878906,,5.896999835968018,84.1719970703125,5.124000072479248,131.14999389648438,4.305500030517578,,25.407499313354492,42.72999954223633,17.746000289916992,5.038000106811523,40.70000076293945,8.335000038146973,15.390000343322754,6.795000076293945,97.47599792480469,25.075000762939453,24.284000396728516,,,13.390000343322754,,8.151000022888184,35.55500030517578,133.0399932861328,,11.869999885559082,82.69999694824219,48.36800003051758,71.68000030517578,19.576000213623047
2019-04-01,Close,7.070000171661377,5.197999954223633,5.604000091552734,29.62579917907715,5.03380012512207,,386.1000061035156,287.95001220703125,5.356500148773193,,25.60099983215332,,35.814998626708984,19.709999084472656,,34.560001373291016,,6.090000152587891,85.10199737548828,5.130000114440918,132.11000061035156,4.629499912261963,,25.167499542236328,41.900001525878906,18.875999450683594,5.236000061035156,41.939998626708984,8.567999839782715,16.139999389648438,7.364999771118164,97.34400177001953,26.072999954223633,23.981000900268555,21.53499984741211,,13.380000114440918,,8.664999961853027,33.724998474121094,135.66000366210938,,12.166999816894531,85.7300033569336,49.560001373291016,73.23999786376953,20.045000076293945
